id,odi_no,date,venue,host_country,venue_status,team1,team2,toss_winner,toss_decision,result,dls_applied,winner,team1_runs,team2_runs,team1_overs_played,team2_overs_played,team1_wickets,team2_wickets,team1_runs_from_extra,team2_runs_from_extra,win_by_runs,win_by_wickets,player_of_the_match,umpire1,umpire2,reserve_umpire,tv_umpire
1,4026,01/08/2018,"VRA Ground, Amstelveen",Netherlands,away,Nepal,Netherlands,Netherlands,bat,normal,0,Netherlands,134,189,41.5,47.4,10,10,3,9,55,0,Michael Rippon,Rizwan Akram,Sarika Prasad,Huub Jansen,
2,4028,03/08/2018,"VRA Ground, Amstelveen",Netherlands,away,Nepal,Netherlands,Nepal,bat,normal,0,Nepal,216,215,48.5,50,10,10,14,16,1,0,Sompal Kami,Huub Jansen,Sarika Prasad,Rizwan Akram,
3,4034,30/08/2018,"Kinrara Academy Oval,Kuala Lumpur",Malaysia,neutral,Nepal,UAE,Nepal,field,normal,0,UAE,176,254,48.5,50,10,9,10,13,78,0,Ahmed Raza,Lyndon Hannibal,Masudur Rahman,Viswanandan Kalidas,
4,4083,25/01/2019,ICC Global Cricket Academy,UAE,away,Nepal,UAE,UAE,field,normal,0,UAE,113,116,33.5,32.1,10,7,9,13,0,3,Amir Hayat,Akbar Ali,Nitin Menon,Iftikhar Ali,
5,4086,26/01/2019,ICC Global Cricket Academy,UAE,away,Nepal,UAE,Nepal,bat,normal,0,Nepal,242,97,50,19.3,9,10,17,6,145,0,Sompal Kami,Iftikhar Ali,Nitin Menon,Shiju Sam,
6,4089,28/01/2019,ICC Global Cricket Academy,UAE,away,Nepal,UAE,Nepal,field,normal,0,Nepal,255,254,44.4,50,6,6,12,8,0,4,Paras Khadka,Iftikhar Ali,Nitin Menon ,Akbar Ali,
7,4236,05/02/2020,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,Oman,Nepal,field,normal,0,Oman,179,197,46.5,50,10,9,8,8,18,0,Mohammad Nadeem,Buddhi Pradhan,Chettithody Shamshuddin,Durga Subedi,
8,4240,08/02/2020,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,USA,USA,field,normal,0,Nepal,190,155,49.2,44.1,10,10,8,20,35,0,Karan KC,Buddhi Pradhan,Chettithody Shamshuddin,Durga Subedi,
9,4241,09/02/2020,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,Oman,Oman,field,normal,0,Oman,249,250,50,47.2,8,2,13,9,0,8,Aqib Ilyas,Chettithody Shamshuddin,Durga Subedi,Buddhi Pradhan,
10,4245,12/02/2020,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,home,Nepal,USA,Nepal,field,normal,0,Nepal,36,35,5.2,12,2,10,0,3,0,8,Sandeep Lamichhane,Chettithody Shamshuddin,Durga Subedi,Buddhi Pradhan,
